Key,Description,Standard,Chinese,TraditionalChinese
SAY.chapterFlow03.695.主角,,反正以后多关照。,Anyways， hope we can work together more in the future.,Anyways， hope we can work together more in the future.
SAY.chapterFlow03.696.大亮子,,好，下回肯定还找你。,Yeah， definitely again.,Yeah， definitely again.
SAY.chapterFlow03.697.主角,,那先走了。,Alright， see ya.,Alright， see ya.
SAY.chapterFlow03.698.大亮子,,嗯，辛苦你。,Yeah， thanks.,Yeah， thanks.
SAY.chapterFlow03.699.大亮子,,再见。,Bye.,Bye.
SAY.chapterFlow03.700.主角,,再见。,Bye.,Bye.
SAY.chapterFlow03.703.主角,,（时间还早。）,(Still early.),(Still early.)
SAY.chapterFlow03.704.主角,,（去问问老莫他们能不能帮忙划龙舟。）,(Maybe go see if Old Mo and them want to row the Boat.),(Maybe go see if Old Mo and them want to row the Boat.)
SAY.chapterFlow03.705.主角,,（完了再接地主妹放学。）,(Then after pick up the kid from school.),(Then after pick up the kid from school.)
SAY.chapterFlow03.711.UI旁白1,,老莫的照相馆在派出所那条街。,Old Mo's Photo shop is near the police station.,Old Mo's Photo shop is near the police station.
SAY.chapterFlow03.718.UI旁白1,,红萍在市场门口摆摊。,Hong Ping is at their stand near the market.,Hong Ping is at their stand near the market.
SAY.chapterFlow03.725.UI旁白1,,老韦家在老街。,Old Wei's over on old street.,Old Wei's over on old street.
SAY.chapterFlow03.732.UI旁白1,,吴明他们单位在装修。,Wu Ming's office is being renovated.,Wu Ming's office is being renovated.
SAY.chapterFlow03.733.UI旁白1,,临时借用了中学的旧校舍来办公。,They're using the old dorms as offices.,They're using the old dorms as offices.
SAY.chapterFlow03.740.UI旁白1,,之前陪地主妹看过一个动画片，叫《机器狗》。,The kid to watched a cartoon movie， “Robot Dog”.,The kid to watched a cartoon movie， “Robot Dog”.
SAY.chapterFlow03.741.UI旁白1,,它有个法宝是一扇门。,They had a gadget that was a door.,They had a gadget that was a door.
SAY.chapterFlow03.742.UI旁白1,,自己想好去哪里，打开门就是那个地方。,Once you thnk of where you want to go， you open the door and there you are.,Once you thnk of where you want to go， you open the door and there you are.
SAY.chapterFlow03.743.UI旁白1,,真有那玩意儿就好了，多方便啊。,It'd be so nice if that was real， how convenient.,It'd be so nice if that was real， how convenient.
SAY.chapterFlow03.744.UI旁白1,,最好是能用来开车送货，绝对发大财。,If you can use it to make deliveries， you'd make a lot of money.,If you can use it to make deliveries， you'd make a lot of money.
SAY.chapterFlow03.745.UI旁白1,,算了，别做梦了，一步一步自己走吧。,Bah， no time to daydream， better do it myself one step at a time.,Bah， no time to daydream， better do it myself one step at a time.
SAY.chapterFlow03.747.UI旁白1,,看地图看半天，还不如走起来。,Instead of staring at the map， better to just start walking.,Instead of staring at the map， better to just start walking.
SAY.chapterFlow03.751.UI旁白1,,芷滨发展得不错，该有的都有了。,Zhibin's development is coming along， we have everything we're supposed to have.,Zhibin's development is coming along， we have everything we're supposed to have.
SAY.chapterFlow03.753.UI旁白1,,有些路好久没走过了，有的人也很久没来往。,Haven't walked down some streets， and haven't said hi to lots of people.,Haven't walked down some streets， and haven't said hi to lots of people.
SAY.chapterFlow03.755.UI旁白1,,闲逛一下也问题不大，可别忘了要做的事情。,Shouldn't be a big problem to wander around a bit， but still， gotta remember what I gotta do.,Shouldn't be a big problem to wander around a bit， but still， gotta remember what I gotta do.
SAY.chapterFlow03.762.莫子成,,阿奶，放手好咩？,Grandma， can you let go?,Grandma， can you let go?
SAY.chapterFlow03.763.莫子成,,客人来找我照相了。,There's a customer here.,There's a customer here.
SAY.chapterFlow03.764.阿成奶奶,,毋要过企！（不要过去！）,Mou jiu gwo kei! (Don't go there!),Mou jiu gwo kei! (Don't go there!)
SAY.chapterFlow03.765.阿成奶奶,,倪唔厅讲！（你不听话！）,Ngai m teng gong! (You're not listening),Ngai m teng gong! (You're not listening)
SAY.chapterFlow03.766.莫子成,,为什么不能过去！？,Why can't I go there?!,Why can't I go there?!
SAY.chapterFlow03.767.阿成奶奶,,哎班拧，嘟系坏拧！（那些人都是坏人！）,Aai baan ling， dyut hai waai ling! (They're all bad people!),Aai baan ling， dyut hai waai ling! (They're all bad people!)
SAY.chapterFlow03.768.阿成奶奶,,涯毋见过佢地。（我没见过她们。）,Ngaai mou gin gwo keoi dei! (I've never seen them before),Ngaai mou gin gwo keoi dei! (I've never seen them before)
SAY.chapterFlow03.769.莫子成,,你都说你没见过了。,You say you've never seen them before.,You say you've never seen them before.
SAY.chapterFlow03.770.莫子成,,怎么知道人家是坏人？,How do you know they're bad people?,How do you know they're bad people?
SAY.chapterFlow03.771.阿成奶奶,,走咯走咯。（走了走了。）,Zau gaak zau gaak (Let's go let's go),Zau gaak zau gaak (Let's go let's go)
SAY.chapterFlow03.772.阿成奶奶,,快滴走也！（快走！）,Faai dik zau jaa! (Hurry and go!),Faai dik zau jaa! (Hurry and go!)
SAY.chapterFlow03.773.莫子成,,去哪呀？我要工作！,Go where? I have to work,Go where? I have to work
SAY.chapterFlow03.774.莫子成,,我摊铺就在这儿！,My shop is here!,My shop is here!
SAY.chapterFlow03.776.主角,,老莫！,Old Mo!,Old Mo!
SAY.chapterFlow03.777.莫子成,,老覃？,Old Qin?,Old Qin?
SAY.chapterFlow03.778.主角,,这是在干嘛呀？,What's going on?,What's going on?
SAY.chapterFlow03.779.莫子成,,我客人在店里等着呢。,Customers are still waiting in the store.,Customers are still waiting in the store.
SAY.chapterFlow03.780.莫子成,,这老太不让我走开。,This auntie isn't letting me leave.,This auntie isn't letting me leave.
SAY.chapterFlow03.781.主角,,为什么？,Why?,Why?
SAY.chapterFlow03.782.莫子成,,不知道呀！,I don't know.,I don't know.
SAY.chapterFlow03.783.主角,,阿奶，好耐毋见咯！（阿奶，好久不见！）,Aa Naai， Hou noi mou gin gaak! (Granny， it's been a while!),Aa Naai， Hou noi mou gin gaak! (Granny， it's been a while!)
SAY.chapterFlow03.787.莫子成,,认得他咩？,Do you recognize him?,Do you recognize him?
SAY.chapterFlow03.788.莫子成,,覃牧南，开车那个！,Qin Munan， the driver!,Qin Munan， the driver!
SAY.chapterFlow03.789.阿成奶奶,,……飞宝！,....Feibao!,....Feibao!
SAY.chapterFlow03.790.阿成奶奶,,系飞宝乜！？(是飞宝吗！？),Hai Feibou mat?! (Is it Feibao?!),Hai Feibou mat?! (Is it Feibao?!)
SAY.chapterFlow03.791.莫子成,,……对！他就是飞宝！,....Yeah! He's Feibao!,....Yeah! He's Feibao!
SAY.chapterFlow03.792.主角,,……飞宝是谁？,...Who's Feibao?,...Who's Feibao?
SAY.chapterFlow03.793.莫子成,,别管了，你就说你是。,Doesn't matter just say it's you.,Doesn't matter just say it's you.
SAY.chapterFlow03.794.阿成奶奶,,真系飞宝啊？（真的是飞宝啊？）,Zan hai Feibou aa? (Is it really you Feibao?),Zan hai Feibou aa? (Is it really you Feibao?)
SAY.chapterFlow03.795.主角,,……系哦，涯系飞宝哦。（是，我是飞宝。）,...Hai ngo， Ngaa hai Feibou ngo. (Yeah， I'm Feibao.),...Hai ngo， Ngaa hai Feibou ngo. (Yeah， I'm Feibao.)
SAY.chapterFlow03.796.阿成奶奶,,飞宝哦！咹久至翻来啊？（这么久才回来？）,Feibou ngo! Hon gau zi faan loi aa? (Feibao! Why'd it take you so long?),Feibou ngo! Hon gau zi faan loi aa? (Feibao! Why'd it take you so long?)
SAY.chapterFlow03.5226.莫子成,,划龙舟？好啊！,Row the Dragon Boat? Sure!,Row the Dragon Boat? Sure!
SAY.chapterFlow03.5395.莫子成,,几时开始？,When?,When?
SAY.chapterFlow03.801.主角,,等一下，先不说这个。,Hang on， let's not talk about this now.,Hang on， let's not talk about this now.
SAY.chapterFlow03.5396.主角,,阿奶是不是……,Granny...,Granny...
SAY.chapterFlow03.802.莫子成,,嗯，脑子糊涂了。,Yeah， she's not really clear minded.,Yeah， she's not really clear minded.
SAY.chapterFlow03.803.莫子成,,记不住事，也不认人。,Can't remember things， forgets people.,Can't remember things， forgets people.
SAY.chapterFlow03.804.主角,,那你还留她在外面！？,And you still let her go out?!,And you still let her go out?!
SAY.chapterFlow03.805.莫子成,,不怕的，她听着收音机就不会跑。,Don't worry，， if she's got her radio she won't walk away.,Don't worry，， if she's got her radio she won't walk away.
SAY.chapterFlow03.806.莫子成,,起码要等这段戏唱完。,At least until the song is over.,At least until the song is over.
SAY.chapterFlow03.807.主角,,之前跑过？,She walked away before?,She walked away before?
SAY.chapterFlow03.808.莫子成,,跑呀！走失过几回了！,Yeah! Lots of times!,Yeah! Lots of times!
SAY.chapterFlow03.809.莫子成,,刚不对劲那阵子，经常半夜自己跑出去。,When she first started showing signs， she would go out on her own in the middle of the night.,When she first started showing signs， she would go out on her own in the middle of the night.
SAY.chapterFlow03.810.莫子成,,一家人手忙脚乱的，满大街找遍都不见她。,Everyone was scrambling and no one could find her.,Everyone was scrambling and no one could find her.
SAY.chapterFlow03.811.莫子成,,直到有人发现了，送到派出所。,Until someone found her and brought her to the police station.,Until someone found her and brought her to the police station.
SAY.chapterFlow03.812.莫子成,,我们再去领她回来。,Then we had to go bring her back.,Then we had to go bring her back.
SAY.chapterFlow03.813.主角,,那干嘛不让她在家？,Why not leave her at home?,Why not leave her at home?
SAY.chapterFlow03.814.主角,,带到店里不是更麻烦？,Isn't it more difficult to watch her in the shop?,Isn't it more difficult to watch her in the shop?
SAY.chapterFlow03.815.莫子成,,她把我当她弟弟了。,She thinks I'm her brother.,She thinks I'm her brother.
SAY.chapterFlow03.816.莫子成,,一旦看不见我，她就闹脾气。,If she can't see me she throws a fit.,If she can't see me she throws a fit.
SAY.chapterFlow03.817.莫子成,,好在你及时出现哦。,Luckily you showed up in time.,Luckily you showed up in time.
SAY.chapterFlow03.818.莫子成,,不然我生意都做不成。,Otherwise I couldn't do business.,Otherwise I couldn't do business.
SAY.chapterFlow03.819.莫子成,,感谢你，飞宝！,Thanks， Feibao!,Thanks， Feibao!
SAY.chapterFlow03.820.主角,,去你的。,Fuck off.,Fuck off.
SAY.chapterFlow03.821.主角,,飞宝到底是谁？,Who is Feibao anyways?,Who is Feibao anyways?
SAY.chapterFlow03.822.莫子成,,她最小的弟弟。,Her youngest brother.,Her youngest brother.
SAY.chapterFlow03.823.主角,,我也成弟弟了？,I'm also her brother now?,I'm also her brother now?
SAY.chapterFlow03.824.莫子成,,她成天念叨老家的事。,She rambles on about home everyday.,She rambles on about home everyday.
SAY.chapterFlow03.825.莫子成,,雨雪满天飞，五姐弟，她是大姐。,There's a total of five of us， she's the oldest.,There's a total of five of us， she's the oldest.
SAY.chapterFlow03.826.莫子成,,她当我是老三，阿满。,She thinks I'm the third brother， Ah Man.,She thinks I'm the third brother， Ah Man.
SAY.chapterFlow03.827.莫子成,,估计听见你讲麻介话，也把你当成阿飞了。,I guess she heard you speaking the local dialect and thought you were Ah Fei.,I guess she heard you speaking the local dialect and thought you were Ah Fei.
SAY.chapterFlow03.829.主角,,阿奶老家是哪里？,Where's Grandma from.,Where's Grandma from.
SAY.chapterFlow03.830.莫子成,,广东江西交界吧。,Somewhere around the border of Guangdong and Jiangxi I think.,Somewhere around the border of Guangdong and Jiangxi I think.
SAY.chapterFlow03.831.主角,,你好像讲过。,I think you did mention it.,I think you did mention it.
SAY.chapterFlow03.833.莫子成,,你妈又是哪儿的客家？,Is your mom Hakka?,Is your mom Hakka?
SAY.chapterFlow03.834.主角,,我妈本地的，我爸才是客家。,No my mom's local， my dad's Hakka.,No my mom's local， my dad's Hakka.
SAY.chapterFlow03.5397.主角,,东南部那几个县，具体哪个他也不清楚。,Somewhere in the Southeast counties， not sure exactly where.,Somewhere in the Southeast counties， not sure exactly where.
SAY.chapterFlow03.835.主角,,他四五岁就跟他舅逃难过来了。,At four or five he and uncle escaped here.,At four or five he and uncle escaped here.
SAY.chapterFlow03.836.莫子成,,遇荒年吗？,A natural disaster year?,A natural disaster year?
SAY.chapterFlow03.837.主角,,也算吧，主要是水灾。,Yeah， mostly flooding.,Yeah， mostly flooding.
SAY.chapterFlow03.838.主角,,南部平原多，地肥，但是经常发大水。,Lots of flatland in the south， real rich soil， but floods often.,Lots of flatland in the south， real rich soil， but floods often.
SAY.chapterFlow03.839.主角,,北部虽然全是石头，好歹安宁些。,Lotta rocks up north， but at least it's more calm.,Lotta rocks up north， but at least it's more calm.
SAY.chapterFlow03.840.莫子成,,我奶那个年代，什么原因就不懂啦。,My Grandma's time period? I don't know much about it.,My Grandma's time period? I don't know much about it.
SAY.chapterFlow03.841.莫子成,,十来岁就跟家人失散，这辈子没再见过。,She was separated from her family when she was in her teens， then never saw them again.,She was separated from her family when she was in her teens， then never saw them again.
SAY.chapterFlow03.842.莫子成,,结果现在她成这样了，喊的还是他们的名字。,Now she's like this， still calling for them.,Now she's like this， still calling for them.
SAY.chapterFlow03.843.主角,,正常的，想家嘛。,That's normal， she misses home.,That's normal， she misses home.
SAY.chapterFlow03.844.主角,,人家都讲，人老了，就变回娃仔了。,Everyone says， you turn back to a kid when you get older.,Everyone says， you turn back to a kid when you get older.
SAY.chapterFlow03.845.莫子成,,嘿，想来也是好玩。,Heh， that's funny.,Heh， that's funny.
SAY.chapterFlow03.846.莫子成,,我小时候被她管着，不让出门。,When I was a kid， she would always watch over me and not let me run around.,When I was a kid， she would always watch over me and not let me run around.
SAY.chapterFlow03.847.莫子成,,她老了，我要看着她，还是不能出门。,Now that she's old， I've to watch over her， and I still can't run around.,Now that she's old， I've to watch over her， and I still can't run around.
SAY.chapterFlow03.849.主角,,当年她把你带大，也该轮到你照顾她了。,She raised you， so now it's your turn to take care of her.,She raised you， so now it's your turn to take care of her.
SAY.chapterFlow03.850.莫子成,,那肯定啊。,Of course.,Of course.
SAY.chapterFlow03.5398.莫子成,,我应尽的义务。,I will do my duty.,I will do my duty.
SAY.chapterFlow03.851.主角,,那你是没法划龙舟啦。,Then you can't go row the Dragon Boat.,Then you can't go row the Dragon Boat.
SAY.chapterFlow03.853.莫子成,,为什么？,Why not?,Why not?
SAY.chapterFlow03.855.主角,,你不在，阿奶怎么办？,Who is taking care of Grandma if you're not home?,Who is taking care of Grandma if you're not home?
SAY.chapterFlow03.856.莫子成,,我爸妈在家呀，两个姑偶尔也会来看看。,My mom and dad， my two aunts will come by every so often too.,My mom and dad， my two aunts will come by every so often too.
SAY.chapterFlow03.857.主角,,应付得了咯？,So you got it covered?,So you got it covered?
SAY.chapterFlow03.858.莫子成,,这有啥？,Yeah.,Yeah.
SAY.chapterFlow03.860.莫子成,,没影响的，我又不是不回家。,It won't be a big problem， it's not like I'm not coming home.,It won't be a big problem， it's not like I'm not coming home.
SAY.chapterFlow03.861.主角,,莫要勉强。,Don't have to force yourself.,Don't have to force yourself.
SAY.chapterFlow03.863.莫子成,,不勉强。,It's fine.,It's fine.
SAY.chapterFlow03.5399.莫子成,,这么多年朋友了。,We've been friends for so many years.,We've been friends for so many years.
SAY.chapterFlow03.5400.莫子成,,加上我真的佩服阿凤的为人。,Plus， I really look up to Ah Feng and how she carried herself.,Plus， I really look up to Ah Feng and how she carried herself.
SAY.chapterFlow03.5401.莫子成,,别的不说，光敬老爱老这方面就很了不起。,Not counting anything else， just the respesct she has for elders is already incredible.,Not counting anything else， just the respesct she has for elders is already incredible.
SAY.chapterFlow03.5402.主角,,得了，莫给高帽戴了。,Yeah， don't need to flatter.,Yeah， don't need to flatter.
SAY.chapterFlow03.5403.莫子成,,不是戴高帽，心里话。,Not flattering， I mean it.,Not flattering， I mean it.
SAY.chapterFlow03.5404.莫子成,,你岳父佬一家，早都到城里发财去了吧？,Your in laws must be raking it in in the city right?,Your in laws must be raking it in in the city right?
SAY.chapterFlow03.5405.莫子成,,装修队弄得风生水起。,Renovations are quite the thing these days.,Renovations are quite the thing these days.
SAY.chapterFlow03.5406.主角,,好像是吧，没打听过。,Maybe， I didn't ask.,Maybe， I didn't ask.
SAY.chapterFlow03.5407.莫子成,,阿凤因为答应了外公，要继承这么手艺。,Ah Feng stayed because she promised her dad that she will carry the torch for this art.,Ah Feng stayed because she promised her dad that she will carry the torch for this art.
SAY.chapterFlow03.5408.莫子成,,硬是留在了这破乡下，一留就是十把年。,And stubbornly stayed here， for decades.,And stubbornly stayed here， for decades.
SAY.chapterFlow03.5409.莫子成,,坚持做她的木工艺品。,She insisted on staying the course of her sculpting.,She insisted on staying the course of her sculpting.
SAY.chapterFlow03.5410.莫子成,,到头来还是她给外公外婆养老送终的。,She was the one who cared for her parents until the end.,She was the one who cared for her parents until the end.
SAY.chapterFlow03.5411.莫子成,,除了她，我没见过有谁能做到这份上。,I've never seen anyone do as much as she has.,I've never seen anyone do as much as she has.
SAY.chapterFlow03.5412.莫子成,,所以这个忙我是一定会帮的，你放心吧。,So， I will definitely help you with the Dragon Boat， don't worry.,So， I will definitely help you with the Dragon Boat， don't worry.
SAY.chapterFlow03.5235.红萍,,没问题，我报名！,No problem， I'll sign up.,No problem， I'll sign up.
SAY.chapterFlow03.5236.主角,,到时候会训练之类的。,There's going to be training and such later.,There's going to be training and such later.
SAY.chapterFlow03.5237.主角,,可能要占用一些你摆摊的时间。,Might take up some of your time from selling.,Might take up some of your time from selling.
SAY.chapterFlow03.5238.红萍,,没事，有我外婆在。,Don't worry， my grandma's here.,Don't worry， my grandma's here.
SAY.chapterFlow03.5240.红萍,,我平时也经常回作坊，或者去采购。,I'll also run errands normally too.,I'll also run errands normally too.
SAY.chapterFlow03.5241.红萍,,她就守在这儿，帮我把东西卖掉。,She helps me manage the stand.,She helps me manage the stand.
SAY.chapterFlow03.5243.红萍,,已经习惯了。,We're used to it.,We're used to it.
SAY.chapterFlow03.5244.红萍外婆,,我还要帮她收摊咧！,I have to help her wrap up too!,I have to help her wrap up too!
SAY.chapterFlow03.5245.红萍,,嗯，你最辛苦啦。,Mhm， you do the hardest work.,Mhm， you do the hardest work.
SAY.chapterFlow03.6279.红萍外婆,,辛苦什么？不辛苦！,Hard work? Not hard.,Hard work? Not hard.
SAY.chapterFlow03.5416.主角,,红萍，真是不好意思。,Hongping， sorry.,Hongping， sorry.
SAY.chapterFlow03.5417.主角,,影响你做生意。,Affecting your business.,Affecting your business.
SAY.chapterFlow03.5247.红萍,,南哥，莫讲这种话。,Brother Nan， don't say that.,Brother Nan， don't say that.
SAY.chapterFlow03.5248.红萍,,你们俩帮了我这么多，我帮回你们是应该的。,You two helped me so much， I should repay you.,You two helped me so much， I should repay you.
SAY.chapterFlow03.5249.红萍,,要不是有你们，当初我都放弃做烧腊了。,If it weren't for you two， I would have given up making BBQ.,If it weren't for you two， I would have given up making BBQ.
SAY.chapterFlow03.5252.主角,,哪有你讲得这么夸张？,No way， it wasn't that much.,No way， it wasn't that much.
SAY.chapterFlow03.5253.主角,,我们就白吃白喝，顺便提了点意见。,We just ate for free and gave our feedback.,We just ate for free and gave our feedback.
SAY.chapterFlow03.5255.红萍,,试吃很重要啊，不然我哪知道自己做成哪样？,Taste testing is important， otherwise how else would I know how I'm doing?,Taste testing is important， otherwise how else would I know how I'm doing?
SAY.chapterFlow03.5256.红萍,,还有，我去广东打工，也是问你借的钱。,Also， when I went to Guangdong for work， you were the one who lent me money.,Also， when I went to Guangdong for work， you were the one who lent me money.
SAY.chapterFlow03.5257.红萍,,我就是在那个酒楼看到有师傅烧烧鹅。,That's when I saw the chef making roast goose.,That's when I saw the chef making roast goose.
SAY.chapterFlow03.5259.红萍,,后面才知道了怎么做。,And that's how I learned what to do.,And that's how I learned what to do.
SAY.chapterFlow03.5261.主角,,那是你有本事，跟我们没关系。,That's because you have the ability， got nothing to do with us.,That's because you have the ability， got nothing to do with us.
SAY.chapterFlow03.5262.红萍,,芸凤姐一直在鼓励我。,It was Yunfeng who always encouraged me.,It was Yunfeng who always encouraged me.
SAY.chapterFlow03.5264.红萍,,她说，没有正不正宗，只有好不好吃。,She always said， “It's not about authenticity， it's about being delicious.”,She always said， “It's not about authenticity， it's about being delicious.”
SAY.chapterFlow03.5265.红萍,,就像做木工一样，不是一成不变的。,“Just like carpentry， it's not like it doesn't change.”,“Just like carpentry， it's not like it doesn't change.”
SAY.chapterFlow03.5418.红萍,,要不断地学习和改良，才能越做越好。,“You have to keep learning and improving， that's how you get better.”,“You have to keep learning and improving， that's how you get better.”
SAY.chapterFlow03.5419.红萍,,我永远记得这些话。,I'll always remember those words.,I'll always remember those words.
SAY.chapterFlow03.5267.红萍外婆,,你在讲哪个咧？,Who are you talking about?,Who are you talking about?
SAY.chapterFlow03.5420.红萍,,我说芸凤姐，黎芸凤！,I was talking about Yunfeng， Li Yunfeng!,I was talking about Yunfeng， Li Yunfeng!
SAY.chapterFlow03.5421.红萍,,南哥的老婆！,Ah Nan's wife!,Ah Nan's wife!
SAY.chapterFlow03.5271.红萍外婆,,哦，那个妹仔嘛！,Oh， that girl!,Oh， that girl!
SAY.chapterFlow03.5274.红萍外婆,,她是蛮够力的喔！,She's strong!,She's strong!
SAY.chapterFlow03.5288.韦家乐,,这我能不参加吗！？,How could I not join?!?,How could I not join?!?
SAY.chapterFlow03.5290.韦家乐,,我跟阿凤是一条战线上的战友。,I was her compatriot in battle!,I was her compatriot in battle!
SAY.chapterFlow03.5291.韦家乐,,必须支持她！,I have to support her!,I have to support her!
SAY.chapterFlow03.5292.主角,,……啥战线？,...what battle?,...what battle?
SAY.chapterFlow03.5293.韦家乐,,她是木工，我是乐师。,She's a woodworker， I'm a musician.,She's a woodworker， I'm a musician.
SAY.chapterFlow03.5295.韦家乐,,我们都是继承传统技艺的人。,We're all carrying on traditional arts.,We're all carrying on traditional arts.
SAY.chapterFlow03.5296.韦家乐,,都肩负着弘扬传统文化的光荣使命。,We all carry the responsibility to pass down tradition!,We all carry the responsibility to pass down tradition!
SAY.chapterFlow03.5298.韦家乐,,没说错吧？,Ain't that right?,Ain't that right?
SAY.chapterFlow03.5300.主角,,没错没错。,Yep， you're right.,Yep， you're right.
SAY.chapterFlow03.5301.韦家乐,,哈哈哈哈。,Hahahaha.,Hahahaha.
SAY.chapterFlow03.5302.韦家乐,,还记得读书的时候咩？,Remember the time we were studying?,Remember the time we were studying?
SAY.chapterFlow03.5303.韦家乐,,我们得空就去村里面，跟那帮老爹学拉二胡。,We had to go to the town to learn erhu from those uncles.,We had to go to the town to learn erhu from those uncles.
SAY.chapterFlow03.5305.主角,,何止二胡。,Not just erhu.,Not just erhu.
SAY.chapterFlow03.5306.主角,,锣镲鼓、三弦、唢呐、小号、口琴、芦笙。,The gongs， sanxian， suona， trumpet， harmonica， lusheng.,The gongs， sanxian， suona， trumpet， harmonica， lusheng.
SAY.chapterFlow03.5309.主角,,还有山歌，都学过。,And folksongs too.,And folksongs too.
SAY.chapterFlow03.5310.韦家乐,,唉。,Sigh.,Sigh.
SAY.chapterFlow03.5312.韦家乐,,一晃眼就过了这么久。,A blink of an eye and it's been so long.,A blink of an eye and it's been so long.
SAY.chapterFlow03.5313.韦家乐,,有二十年咩？,Twenty years now?,Twenty years now?
SAY.chapterFlow03.5318.主角,,没有，十六七年吧。,Not yet， 16 or 17.,Not yet， 16 or 17.
SAY.chapterFlow03.5319.韦家乐,,你最近咋样？还好吗？,How have you been， good?,How have you been， good?
SAY.chapterFlow03.5650.主角,,差不多，还是这样。,Same old， same old.,Same old， same old.
SAY.chapterFlow03.5651.主角,,你呢？,You?,You?
SAY.chapterFlow03.5320.韦家乐,,我过完端午就回广东。,After Duanwu I'm going back to Guangdong.,After Duanwu I'm going back to Guangdong.
SAY.chapterFlow03.5321.韦家乐,,我在那边搞了个乐队，跟几个朋友。,Started a band with some friends.,Started a band with some friends.
SAY.chapterFlow03.5322.韦家乐,,平时在酒吧表演，弹弹吉他，唱唱歌。,Normally we just perform in a club， play some guitar， sing a few songs.,Normally we just perform in a club， play some guitar， sing a few songs.
SAY.chapterFlow03.5652.韦家乐,,运气好的时候，一晚上能赚几十块。,When we're lucky we can make some money.,When we're lucky we can make some money.
SAY.chapterFlow03.5323.主角,,那挺好呀。,That's good.,That's good.
SAY.chapterFlow03.5325.韦家乐,,我有时也在想，要不就干脆放弃戏曲吧。,Sometimes I would think I should just hang it up.,Sometimes I would think I should just hang it up.
SAY.chapterFlow03.5326.韦家乐,,演出机会本来就不多，我又不在地区剧团干。,There's already not many chances to perform and I can't join the regional group.,There's already not many chances to perform and I can't join the regional group.
SAY.chapterFlow03.5327.韦家乐,,没有工资，没有职称，更不可能分到房子。,No work， no professional title， definitely can't get a house.,No work， no professional title， definitely can't get a house.
SAY.chapterFlow03.5653.韦家乐,,可是又不舍得。,But I don't want to give it up.,But I don't want to give it up.
SAY.chapterFlow03.5654.韦家乐,,我十一岁开始拉二胡，对民乐感情太深了。,I started playing the erhu at 11， I love folk music too much.,I started playing the erhu at 11， I love folk music too much.
SAY.chapterFlow03.5340.主角,,祖宗留下的东西，断了还是蛮可惜的。,It's passed down from our ancestors， losing it would be a shame.,It's passed down from our ancestors， losing it would be a shame.
SAY.chapterFlow03.5344.韦家乐,,后来是因为一次经历，让我打消了这个念头。,Something happened that changed my mind about quitting.,Something happened that changed my mind about quitting.
SAY.chapterFlow03.5343.主角,,什么经历？,What was it?,What was it?
SAY.chapterFlow03.5655.韦家乐,,刚过完年，我去村里，帮人做了场白事。,Just after new years， I went to town to do a funeral.,Just after new years， I went to town to do a funeral.
SAY.chapterFlow03.5345.韦家乐,,九十五岁，喜丧。,95 year old.,95 year old.
SAY.chapterFlow03.5656.韦家乐,,那家人想要不太欢快，又不太悲伤的音乐。,The family didn't want something too happy or sad.,The family didn't want something too happy or sad.
SAY.chapterFlow03.5657.韦家乐,,换了几个曲子，他们都不满意。,I kept changing the song， and they still weren't happy.,I kept changing the song， and they still weren't happy.
SAY.chapterFlow03.5346.主角,,这么会折腾人。,That's rough..,That's rough..
SAY.chapterFlow03.5347.韦家乐,,我都要发火了。,I was getting upset.,I was getting upset.
SAY.chapterFlow03.5658.韦家乐,,突然间，想起以前采风得来的一首歌。,Suddenly I remembered a song I learned from someone else.,Suddenly I remembered a song I learned from someone else.
SAY.chapterFlow03.5659.韦家乐,,心想那就试试呗，不行就罢。,I was thinking I'll try that， if it doesn't work then whatever.,I was thinking I'll try that， if it doesn't work then whatever.
SAY.chapterFlow03.5660.韦家乐,,哪晓得音乐还没结束，他们就大声哭起来。,Who knew， before the song ended， everyone started crying.,Who knew， before the song ended， everyone started crying.
SAY.chapterFlow03.5661.主角,,为什么？,Why?,Why?
SAY.chapterFlow03.5662.韦家乐,,原来老人生前，最喜欢哼的就是这个调调。,Because that happened to be the decedent's favorite song to hum.,Because that happened to be the decedent's favorite song to hum.
SAY.chapterFlow03.5663.韦家乐,,不过他就光会哼，不晓得歌曲的名字和意义。,But he only knew how to hum it， didn't know the name of the song or the meaning.,But he only knew how to hum it， didn't know the name of the song or the meaning.
SAY.chapterFlow03.5664.韦家乐,,那是他小时候当堤工，从河边渔家听来的。,He said he learned it from fishermen when he was working near the river.,He said he learned it from fishermen when he was working near the river.
SAY.chapterFlow03.5665.韦家乐,,他一辈子都想知道这首是什么歌。,He always wanted to know what the song was.,He always wanted to know what the song was.
SAY.chapterFlow03.5666.韦家乐,,直到那天，人不在了，才由我告诉他的家人。,It wasn't until the day he left， that the family was able to learn through me.,It wasn't until the day he left， that the family was able to learn through me.
SAY.chapterFlow03.5667.韦家乐,,你说神奇咩？,Isn't that strange?,Isn't that strange?
SAY.chapterFlow03.5668.主角,,这就是所谓的机缘吧。,What a coincidence.,What a coincidence.
SAY.chapterFlow03.5669.韦家乐,,那一刻我就觉得，自己做的事是有意义的。,At that time I felt like what I do has meaning.,At that time I felt like what I do has meaning.
SAY.chapterFlow03.5670.韦家乐,,包括阿凤做这个龙头，终归也是有意义的。,Including Ah Feng's Dragon Head， there's a meaning.,Including Ah Feng's Dragon Head， there's a meaning.
